,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
68,nervous,0.8333,-0.0033,0.1381,1.0000,white,black,0.0003,0.0692
43,handsome,0.8281,0.1409,0.1298,1.0000,asian,black,0.0008,0.0653
46,healthy,0.8235,0.0221,0.1254,1.0000,white,black,0.0004,0.0629
63,manly,0.8824,0.1711,0.1216,1.0000,white,black,0.0002,0.0609
97,successful,0.8370,0.0890,0.1187,1.0000,asian,black,0.0004,0.0596
61,luxurious,0.9028,0.0756,0.1129,1.0000,asian,black,0.0008,0.0568
53,impossible,0.9107,0.1664,0.1120,1.0000,asian,black,0.0003,0.0562
19,crafty,0.8214,0.0670,0.1116,1.0000,asian,black,0.0003,0.0559
75,proud,0.8594,0.0256,0.1101,1.0000,asian,black,0.0005,0.0553
28,excited,0.9000,-0.0409,0.1095,1.0000,white,black,0.0003,0.0549
104,tough,0.8824,0.1126,0.1079,1.0000,white,black,0.0002,0.0540
45,harsh,0.9048,0.0197,0.1061,1.0000,white,black,0.0002,0.0532
20,crazy,0.8571,0.0808,0.1061,1.0000,white,black,0.0002,0.0531
22,defiant,0.8833,0.0976,0.1056,1.0000,asian,black,0.0003,0.0530
73,poor,0.9211,0.0942,0.1052,1.0000,asian,black,0.0003,0.0528
95,studious,0.8235,0.1103,0.1050,1.0000,white,black,0.0003,0.0526
91,sneaky,0.9091,0.1481,0.1036,1.0000,asian,black,0.0002,0.0519
80,retarded,0.9118,0.0634,0.1033,1.0000,white,black,0.0002,0.0518
38,gentle,0.8571,0.0436,0.1028,1.0000,white,black,0.0005,0.0516
85,sad,0.8833,-0.0818,0.1016,1.0000,asian,black,0.0003,0.0510
14,clever,0.8889,0.0374,0.1015,1.0000,asian,black,0.0003,0.0509
16,comfortable,0.8333,-0.0663,0.0989,1.0000,white,hispanic,0.0004,0.0497
5,beautiful,0.8667,-0.0118,0.0978,1.0000,asian,black,0.0012,0.0495
30,feminine,0.8833,-0.0985,0.0970,1.0000,white,black,0.0014,0.0492
55,industrious,0.8611,0.0742,0.0979,1.0000,asian,black,0.0004,0.0491
56,intelligent,0.8810,0.0382,0.0979,1.0000,asian,black,0.0002,0.0490
13,clean,0.9118,-0.0473,0.0970,1.0000,white,hispanic,0.0003,0.0486
105,trustworthy,0.9211,0.0665,0.0960,1.0000,asian,black,0.0002,0.0481
69,nice,0.8875,0.0272,0.0956,1.0000,white,black,0.0004,0.0480
25,dishonest,0.8333,0.0226,0.0953,1.0000,white,black,0.0003,0.0478
64,masculine,0.9375,0.0840,0.0936,1.0000,asian,black,0.0009,0.0473
21,dangerous,0.8667,0.1358,0.0927,1.0000,asian,black,0.0002,0.0464
87,skinny,0.8750,-0.0744,0.0923,1.0000,white,black,0.0002,0.0463
107,uncare,0.9250,0.0721,0.0912,1.0000,white,hispanic,0.0003,0.0458
52,important,0.8333,-0.0076,0.0905,1.0000,asian,black,0.0006,0.0455
112,weak,0.9167,-0.0343,0.0904,1.0000,asian,black,0.0003,0.0453
88,slim,0.8889,-0.0570,0.0898,1.0000,asian,black,0.0002,0.0450
29,fat,0.8810,0.0490,0.0882,1.0000,white,black,0.0002,0.0442
35,fragile,0.8810,-0.0300,0.0866,1.0000,asian,black,0.0003,0.0435
92,social,0.9286,0.1252,0.0853,1.0000,asian,black,0.0008,0.0430
10,careful,0.8846,-0.0429,0.0854,1.0000,white,black,0.0002,0.0428
115,welcome,0.9333,0.1239,0.0836,1.0000,asian,black,0.0004,0.0420
50,ignorant,0.8182,0.0445,0.0829,1.0000,asian,black,0.0003,0.0416
111,violent,0.9000,0.0072,0.0820,1.0000,asian,black,0.0002,0.0411
114,weird,0.8810,0.0615,0.0820,1.0000,white,black,0.0002,0.0411
9,capable,0.9219,0.0499,0.0819,1.0000,asian,black,0.0001,0.0410
18,confrontational,0.9286,0.0533,0.0815,1.0000,white,black,0.0004,0.0409
74,powerful,0.8929,0.0621,0.0816,1.0000,asian,black,0.0002,0.0409
96,stupid,0.9375,0.1138,0.0771,1.0000,asian,black,0.0002,0.0386
109,upset,0.8750,-0.0149,0.0769,1.0000,white,hispanic,0.0002,0.0385
72,polite,0.9079,-0.0085,0.0765,1.0000,white,black,0.0004,0.0384
81,rich,0.8625,0.0135,0.0745,1.0000,asian,black,0.0004,0.0374
59,lazy,0.9412,-0.0039,0.0733,1.0000,asian,black,0.0004,0.0368
12,cautious,0.8824,0.1073,0.0725,1.0000,white,black,0.0002,0.0363
84,rude,0.8750,0.0165,0.0725,1.0000,white,black,0.0002,0.0363
58,late,0.9375,0.0258,0.0723,1.0000,asian,black,0.0003,0.0363
51,immature,0.9412,0.0039,0.0720,1.0000,asian,black,0.0002,0.0361
54,impoverish,0.9167,-0.0138,0.0717,1.0000,asian,black,0.0003,0.0360
65,muscular,0.9000,0.0499,0.0713,1.0000,asian,black,0.0003,0.0358
86,silent,0.8824,0.0264,0.0712,1.0000,white,hispanic,0.0004,0.0358
11,careless,0.9412,0.0118,0.0703,1.0000,asian,black,0.0003,0.0353
39,gifted,0.8625,0.0592,0.0691,1.0000,asian,black,0.0003,0.0347
106,ugly,0.8889,0.0134,0.0676,1.0000,asian,black,0.0002,0.0339
90,smelly,0.9375,0.0066,0.0671,1.0000,white,black,0.0002,0.0337
48,hopeless,0.8684,0.0564,0.0668,1.0000,asian,black,0.0003,0.0335
62,mad,0.9000,0.0971,0.0659,1.0000,white,black,0.0004,0.0332
44,happy,0.9412,0.0175,0.0650,1.0000,asian,black,0.0004,0.0327
27,emotional,0.8500,-0.0144,0.0631,1.0000,white,hispanic,0.0004,0.0318
49,horrible,0.9300,-0.0091,0.0629,1.0000,asian,black,0.0002,0.0315
3,awful,0.8889,0.0150,0.0611,1.0000,white,black,0.0002,0.0306
94,strong,0.9167,-0.0899,0.0609,1.0000,asian,black,0.0003,0.0306
34,flamboyant,0.8947,0.0232,0.0606,1.0000,white,black,0.0005,0.0306
101,terrible,0.9000,0.0127,0.0586,1.0000,asian,black,0.0001,0.0294
67,naive,0.9444,0.0180,0.0577,1.0000,asian,black,0.0003,0.0290
0,angry,0.9500,-0.0814,0.0577,1.0000,asian,black,0.0003,0.0290
89,smart,0.9412,0.0100,0.0567,1.0000,asian,black,0.0002,0.0284
36,free,0.8684,0.0435,0.0566,1.0000,asian,black,0.0002,0.0284
42,gross,0.8750,-0.0635,0.0543,1.0000,white,black,0.0003,0.0273
103,timid,0.9545,-0.0772,0.0537,1.0000,asian,black,0.0003,0.0270
57,irresponsible,0.9306,0.0287,0.0534,1.0000,white,black,0.0004,0.0269
93,strange,0.9474,0.0124,0.0534,1.0000,asian,black,0.0003,0.0268
113,wealthy,0.9412,-0.0695,0.0526,1.0000,asian,black,0.0004,0.0265
71,odd,0.9286,-0.0760,0.0519,1.0000,asian,black,0.0003,0.0261
2,attractive,0.9583,0.0091,0.0517,1.0000,asian,black,0.0002,0.0259
8,callous,0.9667,0.0165,0.0515,1.0000,white,hispanic,0.0002,0.0259
6,brave,0.8906,-0.0054,0.0508,1.0000,asian,black,0.0005,0.0256
70,normal,0.9000,0.0067,0.0503,1.0000,white,black,0.0008,0.0256
23,desperate,0.8971,0.0741,0.0503,1.0000,asian,black,0.0004,0.0253
4,bad,0.9167,0.0137,0.0493,1.0000,asian,black,0.0002,0.0247
78,ready,0.9265,0.0383,0.0489,1.0000,asian,hispanic,0.0002,0.0245
26,dumb,0.9062,0.0668,0.0460,1.0000,asian,black,0.0003,0.0231
79,respected,0.9062,0.0669,0.0453,1.0000,asian,black,0.0003,0.0228
108,uneducated,0.9062,-0.0240,0.0448,1.0000,asian,black,0.0004,0.0226
76,quick,0.8929,0.0664,0.0449,1.0000,asian,black,0.0003,0.0226
31,filthy,0.9000,-0.0436,0.0445,1.0000,white,black,0.0002,0.0224
24,dirty,0.9062,0.0613,0.0438,1.0000,white,black,0.0002,0.0220
77,quiet,0.9615,0.0643,0.0433,1.0000,white,hispanic,0.0004,0.0219
32,fine,0.9643,0.0598,0.0428,1.0000,white,black,0.0001,0.0215
110,uptight,0.9167,0.0576,0.0399,1.0000,white,black,0.0003,0.0201
99,suspicious,0.9062,-0.0249,0.0389,1.0000,white,black,0.0003,0.0196
66,naggy,0.9688,0.0544,0.0376,1.0000,asian,black,0.0003,0.0189
1,annoying,0.9667,0.0544,0.0376,1.0000,asian,black,0.0002,0.0189
33,fit,0.9118,-0.0340,0.0361,1.0000,asian,black,0.0001,0.0181
41,greedy,0.9318,0.0479,0.0351,1.0000,asian,black,0.0003,0.0177
7,burly,0.9500,0.0165,0.0350,1.0000,white,black,0.0003,0.0176
17,complex,0.9737,0.0508,0.0347,1.0000,asian,black,0.0002,0.0175
60,loud,0.9643,-0.0466,0.0340,1.0000,asian,black,0.0002,0.0171
100,talkative,0.9706,-0.0431,0.0308,1.0000,asian,hispanic,0.0003,0.0155
98,supportive,0.9750,0.0307,0.0250,1.0000,white,black,0.0002,0.0126
40,good,0.9833,0.0263,0.0197,1.0000,white,black,0.0002,0.0099
37,friendly,0.9821,0.0170,0.0165,1.0000,asian,black,0.0003,0.0084
47,homeless,0.9333,0.0188,0.0154,1.0000,asian,black,0.0005,0.0080
83,rowdy,0.9375,0.0189,0.0145,1.0000,white,black,0.0002,0.0073
15,colorful,0.9444,0.0102,0.0085,1.0000,white,hispanic,0.0045,0.0065
82,right,1.0000,-0.0088,0.0117,1.0000,asian,black,0.0003,0.0060
102,thin,0.9500,-0.0016,0.0078,1.0000,white,hispanic,0.0006,0.0042
