,attribute,gender-acc,gender-dir,gender-std,race-acc,race-max,race-min,race-std,GRiN-std
15,colorful,0.9306,0.0610,0.0441,0.8750,asian,black,0.3323,0.1882
64,masculine,0.9625,0.0431,0.0432,1.0000,asian,white,0.1679,0.1056
53,impossible,0.8036,0.1154,0.1344,1.0000,asian,white,0.0482,0.0913
21,dangerous,0.9000,0.1555,0.1417,1.0000,asian,white,0.0134,0.0775
29,fat,0.9286,0.0660,0.0787,1.0000,asian,white,0.0762,0.0774
92,social,0.9286,0.1073,0.0783,1.0000,asian,black,0.0706,0.0744
97,successful,0.9022,0.0806,0.1201,1.0000,asian,black,0.0266,0.0733
52,important,0.9167,0.0406,0.1337,1.0000,asian,white,0.0094,0.0716
95,studious,0.8824,0.1566,0.1139,1.0000,asian,black,0.0228,0.0684
73,poor,0.9211,0.0944,0.1031,1.0000,asian,black,0.0328,0.0680
45,harsh,0.8929,0.1140,0.1209,1.0000,asian,white,0.0114,0.0662
107,uncare,0.9375,0.0741,0.0672,1.0000,asian,black,0.0628,0.0650
12,cautious,0.8971,0.1396,0.1140,1.0000,asian,hispanic,0.0157,0.0648
68,nervous,0.8472,0.0791,0.1141,1.0000,asian,hispanic,0.0128,0.0635
11,careless,0.8971,0.1171,0.0924,1.0000,asian,hispanic,0.0327,0.0625
30,feminine,0.9167,-0.0679,0.0495,1.0000,asian,black,0.0756,0.0625
46,healthy,0.8676,0.0521,0.0910,1.0000,asian,black,0.0339,0.0624
55,industrious,0.9167,0.0985,0.0987,1.0000,asian,hispanic,0.0240,0.0614
115,welcome,0.9167,0.1325,0.1085,1.0000,asian,black,0.0122,0.0604
43,handsome,0.9375,0.1169,0.0977,1.0000,asian,hispanic,0.0229,0.0603
57,irresponsible,0.9583,0.0954,0.0927,1.0000,asian,white,0.0265,0.0596
72,polite,0.8684,0.0415,0.0867,1.0000,asian,hispanic,0.0305,0.0586
111,violent,0.9667,0.0214,0.0825,1.0000,asian,white,0.0330,0.0578
36,free,0.9211,0.0316,0.0600,1.0000,asian,black,0.0554,0.0577
54,impoverish,0.9286,0.0246,0.0654,1.0000,asian,black,0.0498,0.0576
80,retarded,0.9559,0.0655,0.0617,1.0000,asian,black,0.0520,0.0568
81,rich,0.9375,0.0695,0.0914,1.0000,asian,black,0.0221,0.0567
59,lazy,0.9118,0.0868,0.0828,1.0000,asian,white,0.0296,0.0562
75,proud,0.9531,0.0772,0.1007,1.0000,asian,white,0.0113,0.0560
18,confrontational,0.9405,0.0460,0.0835,1.0000,asian,white,0.0273,0.0554
63,manly,0.9265,0.0839,0.0792,1.0000,asian,black,0.0315,0.0554
34,flamboyant,0.8947,0.0816,0.0962,1.0000,asian,hispanic,0.0116,0.0539
16,comfortable,0.8611,0.0434,0.0832,1.0000,asian,black,0.0245,0.0539
19,crafty,0.8929,0.0957,0.0940,1.0000,asian,hispanic,0.0130,0.0535
22,defiant,0.9000,0.0997,0.0935,1.0000,asian,hispanic,0.0133,0.0534
74,powerful,0.9464,0.0739,0.0926,1.0000,asian,white,0.0142,0.0534
91,sneaky,0.9091,0.1217,0.0992,1.0000,asian,hispanic,0.0056,0.0524
9,capable,0.9531,0.0499,0.0808,1.0000,asian,white,0.0239,0.0524
61,luxurious,0.9167,0.0638,0.0901,1.0000,asian,black,0.0145,0.0523
27,emotional,0.9000,0.0226,0.0631,1.0000,asian,hispanic,0.0414,0.0522
13,clean,0.9118,0.0452,0.0770,1.0000,asian,hispanic,0.0274,0.0522
50,ignorant,0.8864,0.0899,0.0926,1.0000,asian,hispanic,0.0116,0.0521
25,dishonest,0.9444,0.0923,0.0900,1.0000,asian,white,0.0134,0.0517
60,loud,0.9464,0.0052,0.0835,1.0000,asian,black,0.0180,0.0508
48,hopeless,0.8947,0.0636,0.0568,1.0000,asian,white,0.0441,0.0505
58,late,0.9062,0.1048,0.0900,1.0000,asian,hispanic,0.0103,0.0502
87,skinny,0.9167,0.0305,0.0834,1.0000,asian,black,0.0167,0.0500
65,muscular,0.9625,0.0749,0.0714,1.0000,asian,hispanic,0.0287,0.0500
84,rude,0.9062,0.0621,0.0732,1.0000,asian,white,0.0258,0.0495
105,trustworthy,0.9211,0.0889,0.0836,1.0000,asian,hispanic,0.0137,0.0487
69,nice,0.9250,0.0337,0.0750,1.0000,asian,hispanic,0.0195,0.0473
14,clever,0.9444,0.0785,0.0829,1.0000,asian,white,0.0116,0.0472
5,beautiful,0.9667,0.0548,0.0450,1.0000,asian,white,0.0492,0.0471
86,silent,0.9118,0.0485,0.0846,1.0000,asian,hispanic,0.0093,0.0469
20,crazy,0.9286,0.0942,0.0855,1.0000,asian,white,0.0081,0.0468
79,respected,0.9375,0.0885,0.0707,1.0000,asian,black,0.0226,0.0466
8,callous,0.9500,0.0661,0.0801,1.0000,asian,hispanic,0.0131,0.0466
38,gentle,0.9048,0.0455,0.0805,1.0000,asian,hispanic,0.0125,0.0465
70,normal,0.9500,0.0259,0.0446,1.0000,asian,black,0.0474,0.0460
103,timid,0.9545,-0.0002,0.0774,1.0000,asian,hispanic,0.0142,0.0458
104,tough,0.9412,0.1133,0.0846,1.0000,asian,hispanic,0.0069,0.0458
47,homeless,0.9167,0.0812,0.0669,1.0000,asian,black,0.0243,0.0456
110,uptight,0.9028,0.1077,0.0758,1.0000,asian,hispanic,0.0152,0.0455
10,careful,0.9231,0.0019,0.0735,1.0000,asian,white,0.0173,0.0454
90,smelly,0.9375,0.0594,0.0784,1.0000,asian,black,0.0121,0.0452
71,odd,0.9464,0.0415,0.0790,1.0000,asian,black,0.0103,0.0446
99,suspicious,0.9375,0.0558,0.0783,1.0000,asian,black,0.0109,0.0446
42,gross,0.9375,-0.0013,0.0465,1.0000,asian,black,0.0423,0.0444
24,dirty,0.9219,0.0916,0.0719,1.0000,asian,black,0.0150,0.0434
41,greedy,0.9432,0.0426,0.0586,1.0000,asian,white,0.0273,0.0430
35,fragile,0.8810,-0.0125,0.0659,1.0000,asian,hispanic,0.0199,0.0429
85,sad,0.9333,0.0680,0.0662,1.0000,asian,white,0.0190,0.0426
66,naggy,0.9688,0.0551,0.0497,1.0000,asian,black,0.0351,0.0424
82,right,0.9737,0.0261,0.0783,1.0000,asian,black,0.0063,0.0423
3,awful,0.9444,0.0651,0.0692,1.0000,asian,white,0.0146,0.0419
28,excited,0.9333,0.0623,0.0698,1.0000,asian,hispanic,0.0130,0.0414
62,mad,0.9500,0.0993,0.0720,1.0000,asian,white,0.0101,0.0411
23,desperate,0.9118,0.0890,0.0662,1.0000,asian,white,0.0150,0.0406
17,complex,0.9605,0.0491,0.0467,1.0000,asian,white,0.0327,0.0397
39,gifted,0.9125,0.0765,0.0683,1.0000,asian,hispanic,0.0111,0.0397
67,naive,0.9444,0.0711,0.0594,1.0000,asian,hispanic,0.0195,0.0394
0,angry,0.9375,0.0300,0.0631,1.0000,asian,white,0.0143,0.0387
76,quick,0.9107,0.0779,0.0645,1.0000,asian,white,0.0128,0.0386
88,slim,0.9306,0.0368,0.0588,1.0000,asian,hispanic,0.0156,0.0372
83,rowdy,0.9219,0.0466,0.0518,1.0000,asian,black,0.0217,0.0368
96,stupid,0.9688,0.0647,0.0544,1.0000,asian,white,0.0177,0.0361
44,happy,0.9559,0.0309,0.0551,1.0000,asian,hispanic,0.0169,0.0360
56,intelligent,0.9762,0.0388,0.0515,1.0000,asian,hispanic,0.0202,0.0359
112,weak,0.9306,0.0220,0.0552,1.0000,asian,white,0.0159,0.0356
51,immature,0.9706,0.0392,0.0496,1.0000,asian,hispanic,0.0212,0.0354
114,weird,0.9643,0.0734,0.0632,1.0000,asian,black,0.0073,0.0352
26,dumb,0.9688,0.0577,0.0506,1.0000,asian,black,0.0191,0.0349
93,strange,0.9342,0.0558,0.0597,1.0000,asian,black,0.0076,0.0337
113,wealthy,0.9559,0.0015,0.0514,1.0000,asian,black,0.0147,0.0331
109,upset,0.9375,0.0221,0.0570,1.0000,asian,hispanic,0.0091,0.0330
33,fit,0.9412,0.0045,0.0210,1.0000,asian,hispanic,0.0445,0.0328
32,fine,0.9821,0.0640,0.0484,1.0000,asian,hispanic,0.0167,0.0326
106,ugly,0.9444,0.0477,0.0423,1.0000,asian,black,0.0211,0.0317
2,attractive,0.9722,0.0076,0.0430,1.0000,asian,black,0.0197,0.0313
78,ready,0.9706,0.0341,0.0444,1.0000,asian,white,0.0176,0.0310
31,filthy,0.9167,0.0374,0.0441,1.0000,asian,white,0.0175,0.0308
49,horrible,0.9500,0.0437,0.0485,1.0000,asian,white,0.0123,0.0304
102,thin,0.9500,0.0491,0.0366,1.0000,asian,hispanic,0.0206,0.0286
101,terrible,0.9625,0.0500,0.0401,1.0000,asian,white,0.0161,0.0281
37,friendly,0.9643,0.0640,0.0489,1.0000,asian,hispanic,0.0052,0.0271
6,brave,0.9375,0.0078,0.0449,1.0000,asian,hispanic,0.0087,0.0268
108,uneducated,0.9062,0.0506,0.0426,1.0000,asian,hispanic,0.0106,0.0266
40,good,0.9833,0.0274,0.0290,1.0000,asian,black,0.0232,0.0261
4,bad,0.9688,0.0428,0.0381,1.0000,asian,black,0.0134,0.0257
94,strong,0.9500,-0.0179,0.0395,1.0000,asian,white,0.0109,0.0252
77,quiet,0.9615,0.0560,0.0412,1.0000,asian,hispanic,0.0067,0.0240
